draw,pearson_r,spearman_rho,cosine_similarity,sign_concordance,projection,frozen_score_log_hr
0,0.7109551489505257,0.5765217391304347,0.8509303199496372,0.9166666666666666,0.2484329726223989,0.11494243154243403
1,0.642107770791926,0.5365217391304348,0.8268094074740472,0.9166666666666666,0.32792432812072325,0.1463106509123443
2,0.13084263203125968,0.1252173913043478,0.5667817557947292,0.75,0.1898843891473708,0.08673109527866253
3,0.3050984273615854,0.18,0.6523569999383352,0.7916666666666666,0.22277306245814515,0.10160313446385151
4,0.5891220180254959,0.43043478260869555,0.8004362341241751,0.875,0.36824239761652916,0.1663939660040737
5,0.42328882127952044,0.33304347826086955,0.5710227661995482,0.5416666666666666,0.16162684072699815,0.07290259311811995
6,0.5077353073692961,0.3782608695652173,0.44240542758131174,0.5,0.11866636203030928,0.05293460070955876
7,0.574046329165468,0.5034782608695652,0.7988355713045789,0.8333333333333334,0.2778298652073927,0.12879458711817035
8,0.44353366623368207,0.29304347826086957,0.7114821248094823,0.7083333333333334,0.27117580835577665,0.11886731933332269
9,0.14779979113251768,0.015652173913043476,0.6235259294507818,0.7916666666666666,0.2211070207917908,0.10145143884774883
10,0.4662005059787165,0.32521739130434785,0.6892496870290279,0.75,0.3302748953429334,0.14627784327044027
11,0.15388931857730764,0.03565217391304347,0.677804541592079,0.875,0.2922822254210188,0.13693732696701513
12,0.3581298450379898,0.2860869565217391,0.7036776402243552,0.8333333333333334,0.27629778415848505,0.12306132715215208
13,0.45708373923828566,0.4130434782608695,0.7192131076454209,0.6666666666666666,0.2913850202571379,0.1324672913949484
14,0.34921806172971026,0.3043478260869565,0.7071853782647969,0.8333333333333334,0.28218728208901245,0.12818681113479766
15,0.625465834777113,0.5060869565217391,0.8121296642639467,0.8333333333333334,0.34968923554690984,0.15940119331080863
16,0.32294530984092445,0.25130434782608696,0.7054729867233909,0.7916666666666666,0.3188472912366485,0.1436204890564927
17,0.1932032028639531,0.09652173913043478,0.6110388719172287,0.8333333333333334,0.2424349256267391,0.11026813322811699
18,0.319063205424128,0.2539130434782608,0.5588917042546283,0.7083333333333334,0.15936951648686423,0.07243206518539651
19,0.47343703435037443,0.3,0.64080775188182,0.5833333333333334,0.169330474029537,0.07579907388707335
20,0.3999734243784827,0.3347826086956522,0.6759490727445171,0.7083333333333334,0.279636863887296,0.12109975204772645
21,0.4638241718238256,0.37217391304347824,0.7491336371354488,0.7916666666666666,0.2706523432399892,0.1255244744308199
22,0.5140634169271102,0.3921739130434782,0.7622274642782824,0.875,0.25173224540709355,0.11890660999262534
23,0.3815601601401494,0.2652173913043478,0.7256730212864974,0.7916666666666666,0.29048910392087524,0.13283436540496563
24,0.5034944949572264,0.37217391304347824,0.7535347939289397,0.75,0.315147429963946,0.14339673625881671
25,0.47924790316059995,0.33391304347826084,0.684346891727973,0.7083333333333334,0.2429461744975848,0.10861134825228887
26,0.49170210849412005,0.40782608695652167,0.7198772312027758,0.75,0.26744405665938653,0.11823980088377894
27,0.43550485210445866,0.3052173913043478,0.6820950699898831,0.7083333333333334,0.11932487135605745,0.05657342553492607
28,0.2935080027956652,0.16869565217391302,0.35548786018020156,0.5,0.08629054950868188,0.038729908339736094
29,0.586880050381797,0.47478260869565214,0.778030673509504,0.75,0.305133618779408,0.13624048755077137
30,0.3920193312918685,0.2626086956521739,0.6879947801755214,0.7083333333333334,0.3145552446174578,0.14129545235169905
31,0.6688739158870153,0.6113043478260869,0.8308191120351807,0.75,0.3280069280462007,0.1492946939441539
32,0.6228588543452352,0.49304347826086947,0.7003068080488921,0.625,0.17853600826159588,0.08219216174409454
33,0.5806194464780873,0.4626086956521739,0.7310509263243093,0.5833333333333334,0.19274246623880661,0.08906889123317245
34,0.39200287324263017,0.2652173913043478,0.7199284813562192,0.7916666666666666,0.30718228686719184,0.14039976378304928
35,0.5798364793603401,0.37478260869565216,0.7961830208915728,0.9166666666666666,0.26374554726782146,0.12145839268905115
36,0.2242214697602171,0.1417391304347826,0.5726276649096407,0.6666666666666666,0.23690997719091444,0.10529526386250793
37,0.6061275635352492,0.5034782608695652,0.7832663631437206,0.7916666666666666,0.14980171119001828,0.07095462179968504
