feature,lead,feature_family,n,deaths,hr_per_sd,ci95_lower,ci95_upper,p_value,concordance,adjustment_covariates,cohort,subgroup,analysis,bonferroni_alpha_24,bonferroni_significant,trim_lower,trim_upper
rs_diff_V3,V3,rs_diff,28934,1037,0.898680586935534,0.851301297496583,0.9486967771689993,0.00011072132445853994,0.8097556856034512,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_discovery,all,adjusted_for_aVL_QS_span,0.0020833333333333333,True,,
rs_diff_2_V3,V3,rs_diff_2,28934,1037,0.9601183483706482,0.9030759814128035,1.020763769440355,0.19280083301529263,0.8077975614612759,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_discovery,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_V4,V4,rs_diff,28934,1037,0.9220788338021346,0.8732035470722248,0.9736897869879816,0.0035060798316228544,0.8086975734488985,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_discovery,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_2_V4,V4,rs_diff_2,28934,1037,0.9862758268921007,0.9286465901549231,1.0474813745338987,0.6528103422349661,0.8075781018104722,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_discovery,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_V5,V5,rs_diff,28934,1037,0.982979627506638,0.930960522560054,1.0379053941363645,0.5360314449436084,0.8075468316529743,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_discovery,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_2_V5,V5,rs_diff_2,28934,1037,1.0670032254351356,1.0139505151340744,1.12283180105534,0.012688752466409627,0.8081086011257869,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_discovery,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_V6,V6,rs_diff,28934,1037,0.9701226011469721,0.9184864460488465,1.0246616760701943,0.2770575003432168,0.8076479020501459,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_discovery,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_2_V6,V6,rs_diff_2,28934,1037,1.023637148687475,0.9679662401956453,1.0825098734447967,0.41288563121607935,0.8075351545452092,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_discovery,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_I,I,rs_diff,28644,1027,0.9613344609661937,0.9080361490586379,1.0177611836260527,0.17541585494643036,0.8072812492071042,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.009871850383332223,0.14536370300468635
rs_diff_2_I,I,rs_diff_2,28644,1024,1.0036513760374155,0.9490297083013041,1.0614168089899128,0.8984224233978986,0.8076599804070289,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.00419058506791454,0.09697403320308699
rs_diff_II,II,rs_diff,28644,1025,0.9456210246760713,0.8976162197050521,0.9961931421016971,0.0354264096158082,0.8080415948322212,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.0071856510604894714,0.14470915651381291
rs_diff_2_II,II,rs_diff_2,28644,1025,0.958475884864458,0.9087155282391598,1.010961069023269,0.1189524281045123,0.8081762144668059,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.0031149703150393625,0.1034749664234033
