feature,lead,feature_family,n,deaths,hr_per_sd,ci95_lower,ci95_upper,p_value,concordance,adjustment_covariates,cohort,subgroup,analysis,bonferroni_alpha_24,bonferroni_significant,trim_lower,trim_upper
rs_diff_2_aVL,aVL,rs_diff_2,14301,529,0.9506877576788255,0.8751878333898182,1.0327008421720456,0.2309945933095828,0.8167549884189983,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.005297731986707075,0.11637259865815351
rs_diff_aVF,aVF,rs_diff,14301,531,0.997082753270731,0.9253892435327502,1.0743306385047222,0.938832851684475,0.8167126359629445,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.0077174909185517395,0.16666666666644672
rs_diff_2_aVF,aVF,rs_diff_2,14301,532,0.9625748565052027,0.8918430505831317,1.038916380825288,0.32731553589193624,0.8169681940727065,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.003909842461399224,0.10882404583505646
rs_diff_V1,V1,rs_diff,14301,531,0.871775666289989,0.8052187375646153,0.9438339880588884,0.0007078109875207731,0.8179521472142218,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,True,0.006366548236392061,0.14056974818262208
rs_diff_2_V1,V1,rs_diff_2,14301,530,0.8908476308785981,0.8202802081184111,0.9674858585975414,0.006051405465757897,0.818584491478308,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.0022605111525230526,0.08859188642337758
rs_diff_V2,V2,rs_diff,14301,532,0.8774863247308858,0.8140974509106985,0.9458109090359748,0.0006348834738997775,0.8186003489044752,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,True,0.005454160838039239,0.14285714285700687
rs_diff_2_V2,V2,rs_diff_2,14301,527,0.9210039361731266,0.8527253219920555,0.9947496908673897,0.03626789545104998,0.817027070329964,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.0021049234569973526,0.09014320097718549
rs_diff_V3,V3,rs_diff,14301,532,0.9057310998552449,0.8406719113960627,0.9758251871204766,0.009229868344403053,0.8189636153553463,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.00469217771427047,0.14285714285710294
rs_diff_2_V3,V3,rs_diff_2,14301,530,0.9471867608851174,0.8775245472555513,1.0223791035839482,0.16388712060981472,0.8186123238559566,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.0018391341120585535,0.09164352931670067
rs_diff_V4,V4,rs_diff,14301,533,0.9968520718700794,0.9245887724760677,1.0747632707354677,0.9345538795975386,0.8178956190423144,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.004862346298516525,0.1428571428571263
rs_diff_2_V4,V4,rs_diff_2,14301,529,1.0311060757994528,0.9549106183480273,1.1133814192890876,0.43418440618498955,0.8162652108662845,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.002079959445290905,0.09968383087016823
rs_diff_V5,V5,rs_diff,14301,533,0.9884066273270024,0.9175511208727591,1.0647337665662524,0.7586502973717453,0.8162777752651849,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.005048560634185243,0.14285714285711462
rs_diff_2_V5,V5,rs_diff_2,14301,532,1.0169900802240421,0.9418940938195147,1.0980733715825695,0.6668636744325754,0.8163290257048498,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.0022235638938396035,0.10700070785785443
rs_diff_V6,V6,rs_diff,14301,533,0.9516158574829214,0.8843715868769166,1.0239731280952944,0.18471593130559058,0.8167807989824547,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.004325589596840447,0.14285714285705525
rs_diff_2_V6,V6,rs_diff_2,14301,531,0.9856652585276721,0.9145868100367777,1.0622676723594504,0.7053541128297258,0.8159538690884545,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.0024381340956449106,0.09695409971737977
