cohort,subgroup,feature,lead,feature_family,n,deaths,hr_per_sd,ci95_lower,ci95_upper,p_value,concordance,adjustment_covariates,bonferroni_alpha_24,bonferroni_significant,source_analysis_label
CODE_discovery,all,rs_diff_V5,V5,rs_diff,28934,1037,0.9793385962643335,0.9278995267151819,1.0336292438129366,0.4481992766454066,0.8078265136910152,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,all,rs_diff_2_V5,V5,rs_diff_2,28934,1037,1.0531819970917184,1.0014617348774302,1.107573340417101,0.043714613707252284,0.8082750983140312,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,all,rs_diff_V6,V6,rs_diff,28934,1037,0.964024230219197,0.9132628403287821,1.0176070627325033,0.18432646471857572,0.8079368120647352,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,all,rs_diff_2_V6,V6,rs_diff_2,28934,1037,1.0100183343980962,0.955547565990123,1.06759419638441,0.7245235857334393,0.8077689153729386,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_I,I,rs_diff,11686,176,0.9759347219969404,0.8671259103014525,1.0983970958359797,0.6862970379450402,0.8101490538236858,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_2_I,I,rs_diff_2,11686,176,0.9891644431654267,0.8784136798163815,1.1138787089783229,0.8572883174592864,0.8106077982744346,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_II,II,rs_diff,11686,176,0.9877759347139949,0.8828524317904887,1.1051691789774125,0.83002881023323,0.8109159576353947,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_2_II,II,rs_diff_2,11686,176,1.0003024342232505,0.8918456756186934,1.1219485470048594,0.9958795590131809,0.8108651272253394,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_III,III,rs_diff,11686,176,1.0008507943970428,0.8915738747600401,1.1235213828072201,0.9884975645829709,0.8108708456464707,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_2_III,III,rs_diff_2,11686,176,0.9511215429850757,0.8416026425665578,1.0748922873763063,0.4220390278971268,0.8106281304384567,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_aVR,aVR,rs_diff,11686,176,1.0043451544581978,0.895739744862663,1.1261186020480969,0.9408069795539291,0.8109763187473353,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_2_aVR,aVR,rs_diff_2,11686,176,0.99288242081625,0.8833211654600774,1.1160329222412273,0.9046913192293591,0.8107361450598242,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_aVL,aVL,rs_diff,11686,176,0.9911597240467628,0.8798885596135123,1.1165022977500347,0.8838025940646813,0.8106732424273808,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_2_aVL,aVL,rs_diff_2,11686,176,0.9759332658106089,0.8628378355545641,1.1038525433966437,0.6982692893874513,0.810555697104128,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_aVF,aVF,rs_diff,11686,176,0.9948998052042469,0.8887419110612578,1.1137379818326394,0.9292266672918409,0.8108905424303671,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_2_aVF,aVF,rs_diff_2,11686,176,0.9664053233645448,0.8586728514196653,1.087654334806586,0.5709497432607632,0.8111917126099446,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_V1,V1,rs_diff,11686,176,0.9147242483869426,0.8115265388370714,1.0310450866906815,0.14445862751378652,0.8114064710924281,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_2_V1,V1,rs_diff_2,11686,176,0.9140264793251588,0.8000436245197909,1.0442485625818247,0.1858910842974348,0.8118607678822971,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_V2,V2,rs_diff,11686,176,0.953680989484396,0.8494605505175227,1.0706882493246226,0.42185487137598554,0.8114287093968273,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_2_V2,V2,rs_diff_2,11686,176,0.9969309318168134,0.8865565307461618,1.1210467108923754,0.9590515276497615,0.810860044184334,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_V3,V3,rs_diff,11686,176,0.9982478466164406,0.8893869497015982,1.12043330926848,0.9762528881094216,0.8108422535408146,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_2_V3,V3,rs_diff_2,11686,176,0.9966000610789618,0.886871726705589,1.1199045497053066,0.9543669069921715,0.8108034953531474,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_V4,V4,rs_diff,11686,176,1.015890290825791,0.9029159949059081,1.1430001116567408,0.7932425241135411,0.8106992930125342,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_2_V4,V4,rs_diff_2,11686,176,1.0006591256133845,0.8862163337244748,1.1298806482894883,0.9915160817884506,0.8108676687458423,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_V5,V5,rs_diff,11686,176,1.0412630409101602,0.9266191762205302,1.1700909588206423,0.49688424324725655,0.8113804205072748,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_2_V5,V5,rs_diff_2,11686,176,1.0650408977417989,0.9586726441808339,1.1832111000016106,0.24048367634419995,0.8117965944896023,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_V6,V6,rs_diff,11686,176,0.9956329291748851,0.8874401352746181,1.1170161121353936,0.940558964708122,0.8107876108500052,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_2_V6,V6,rs_diff_2,11686,176,0.994822796311003,0.8864946270184535,1.1163884877549768,0.9296835842530917,0.8107634664052289,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_I,I,rs_diff,26075,760,0.9805292975061972,0.9206666659022079,1.044284254959785,0.54068830896632,0.8011013884302298,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_I,I,rs_diff_2,26075,760,1.0071760198092263,0.9477467624980687,1.070331838649591,0.81775577260958,0.8012519876962206,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_II,II,rs_diff,26075,760,0.9450227873751169,0.890575422407411,1.002798916507359,0.06181107425749441,0.8017045883334609,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_II,II,rs_diff_2,26075,760,0.9769115469782884,0.9187473756127204,1.0387579828274822,0.4557660701137639,0.8012096379248425,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_III,III,rs_diff,26075,760,0.9526742757880738,0.8935491766235121,1.0157116132968405,0.13805326730477305,0.8015828243778397,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_III,III,rs_diff_2,26075,760,0.9738014806836175,0.9118655192081915,1.0399442722705896,0.4284802346926214,0.8012370682664934,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_aVR,aVR,rs_diff,26075,760,0.9395552409462317,0.8830576387116897,0.9996675325490795,0.04878417905548267,0.8013768961056408,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_aVR,aVR,rs_diff_2,26075,760,0.9835013523407434,0.922974612143502,1.0479973092755897,0.6077077869115549,0.801146481235773,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_aVL,aVL,rs_diff,26075,760,0.9542046772129154,0.8943257129446655,1.0180927964343789,0.15628343097736658,0.8012719248713718,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_aVL,aVL,rs_diff_2,26075,760,1.0084312971088167,0.9503418001332978,1.0700715056897765,0.7815020376195941,0.8012345928454175,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_aVF,aVF,rs_diff,26075,760,0.9724925787392411,0.9162396975982976,1.0321991266935215,0.35887865424078713,0.8013515397654317,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_aVF,aVF,rs_diff_2,26075,760,0.9863036664341249,0.9273574977197937,1.0489966650545515,0.6609388987251891,0.8012170641880699,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_V1,V1,rs_diff,26075,760,0.8860192697866146,0.8316621328339985,0.9439291695993324,0.00017945320725152724,0.8030878803919355,age;is_male;nn_predicted_age,0.0020833333333333333,True,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_V1,V1,rs_diff_2,26075,760,0.9334262893182581,0.8696948239367618,1.001828013240891,0.05621726130368499,0.8015146499433463,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_V2,V2,rs_diff,26075,760,0.8644736499756311,0.8133416400957301,0.9188201546083776,2.8457407342771008e-06,0.8049532774307431,age;is_male;nn_predicted_age,0.0020833333333333333,True,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_V2,V2,rs_diff_2,26075,760,0.93077792038963,0.8677463661877723,0.9983879746923364,0.04495682781663801,0.8019374117211322,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_V3,V3,rs_diff,26075,760,0.8913649712900826,0.8395815929445813,0.9463422241742915,0.00016585928108224724,0.8037131583750319,age;is_male;nn_predicted_age,0.0020833333333333333,True,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_V3,V3,rs_diff_2,26075,760,0.9598108288602522,0.898344580272266,1.0254827016579764,0.22445738806443796,0.8015522495823898,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_V4,V4,rs_diff,26075,760,0.9262967932513656,0.8712158269771583,0.9848601490228195,0.014377230000175307,0.8025258260011807,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_V4,V4,rs_diff_2,26075,760,0.9901113939787857,0.9278171465892893,1.0565881177022116,0.7643774120992082,0.8012749355186262,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_V5,V5,rs_diff,26075,760,0.9659065272935671,0.9085455845985875,1.0268889478787402,0.26677933542041016,0.8013221023256113,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_V5,V5,rs_diff_2,26075,760,1.0433293388321,0.9837430989305681,1.106524773033915,0.15745212316896712,0.8017106096279696,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_V6,V6,rs_diff,26075,760,0.9654798985735094,0.9088386999987222,1.0256511243973485,0.25475652661810766,0.8014217212980947,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_V6,V6,rs_diff_2,26075,760,1.006591097905343,0.9460981873241063,1.0709518863449439,0.8354252307066953,0.8012158599291682,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_replication_corrected,all,rs_diff_I,I,rs_diff,14447,536,0.9159573219836111,0.8440936770504611,0.9939392255928879,0.0352224485528113,0.8177625656240837,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,all,rs_diff_2_I,I,rs_diff_2,14447,536,0.9217037924206352,0.8388330884516231,1.0127615286739795,0.08985627020781657,0.8176614541506516,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,all,rs_diff_II,II,rs_diff,14447,536,0.981734596852098,0.9102558144144559,1.0588263248571952,0.6326883558189293,0.8173483678623598,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
