cohort,score,n,deaths,hr_per_sd,ci95_lower,ci95_upper,p_value,c_index_covariates,c_index_score,delta_c_index,likelihood_ratio,lr_df,lr_p_value,covariates,weights_refit,score_standardization,n_features
CODE_replication_original_audit,full_12lead,14457,546,1.1080640559241894,1.0268121448399836,1.195745451786124,0.0082680585624776,0.8143634264206184,0.8153139224884064,0.0009504960677879,6.929169156543139,1,0.0084801074237406,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,False,evaluation-cohort SD,24
SaMi_Trop_supportive,full_12lead,1621,103,1.8073883701948856,1.4486699110211432,2.25493240100025,1.5751031778110279e-07,0.7121860866365994,0.7645499121454896,0.0523638255088901,28.37805824423299,1,9.978993781157918e-08,age;is_male;nn_predicted_age,False,evaluation-cohort SD,24
CODE_replication_corrected,full_12lead,14447,536,1.115988570401359,1.0339404215041637,1.2045476348188733,0.0048530330185792,0.8172108151979954,0.8184896785886959,0.0012788633907004,7.876554708691401,1,0.0050079798063381,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,False,evaluation-cohort SD,24
CODE_replication_corrected,precordial_only,14447,536,1.12536944158406,1.0438069861669723,1.2133051386270666,0.0020918422224846,0.8172108151979954,0.8188929268845998,0.0016821116866043,9.417490667749007,1,0.0021492543316155,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,False,evaluation-cohort SD,12
CODE_replication_corrected,limb_only,14447,536,1.0492921726108542,0.9679942135114632,1.1374180218582146,0.242247403491931,0.8172108151979954,0.817349223289377,0.0001384080913815,1.3869199758701145,1,0.2389259313369297,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,False,evaluation-cohort SD,12
CODE_replication_corrected,full_minus_aVL,14447,536,1.1131905027767777,1.0317831155078323,1.2010209091883597,0.0056491194887489,0.8172108151979954,0.8184922448697476,0.0012814296717521,7.600054097230895,1,0.0058366549558392,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,False,evaluation-cohort SD,22
CODE_replication_corrected,full_minus_V1_V3,14447,536,1.0484638428519228,0.9696531460389376,1.133680052767733,0.2352187578809636,0.8172108151979954,0.8173854933949058,0.0001746781969104,1.410850323134582,1,0.2349152860576824,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,False,evaluation-cohort SD,18
