specification,pearson_r,spearman_rho,cosine_similarity,sign_concordance,projection
unadjusted,0.852118771464258,0.8443478260869565,0.9617350575959224,1.0,0.7836432742441576
age_sex,0.6640840258060218,0.5556521739130434,0.9091879431194069,0.9583333333333334,0.417454167430597
full,0.5502363097254841,0.3539130434782608,0.7761847948820437,0.8333333333333334,0.24113501804503512
