analysis,n_features,pearson_r,pearson_p,spearman_rho,spearman_p,cosine_similarity,sign_concordance_n,sign_concordance_fraction
corrected_primary,24,0.5502363097254834,0.0053387964076193565,0.3539130434782608,0.08975845608982275,0.7761847948820434,20,0.8333333333333334
adjusted_for_aVL_QS_span,24,0.5460466541137825,0.0057738959173000365,0.35130434782608694,0.0923172546101079,0.6918546763859229,18,0.75
feature_trim_0.5pct_each_tail,24,0.6518733842195528,0.0005579136121723663,0.5121739130434783,0.010506432119033718,0.8228854417707762,21,0.875
original_zero_time_inclusive_audit,24,0.7345768150081938,4.363814663830886e-05,0.5217391304347825,0.008926065916873605,0.8433438255296248,19,0.7916666666666666
