statistic,lower_95,median,upper_95,scale
pearson_r,0.13349108418049282,0.47418647163331407,0.7155210324448869,
spearman_rho,0.04343478260869565,0.3556521739130434,0.5870217391304346,
cosine_similarity,0.36126272944446963,0.7112289839205408,0.8406322675052856,
projection,0.08778191145245288,0.24594060894564987,0.4000731604497525,
sign_concordance,0.5,0.75,0.875,
frozen_score_log_hr,1.0394628362082998,1.1182490778104912,1.1951554369554125,HR
