statistic,observed,null_mean,null_sd,empirical_p,n_permutations,permutation_unit
cosine_similarity,0.7761847948820437,-0.0015325576260747406,0.3848243942261035,0.003996003996003996,1000,joint_time_event_pair
projection,0.2411350180450351,0.0023147929244988993,0.07018091232583341,0.000999000999000999,1000,joint_time_event_pair
