cohort,subgroup,feature,lead,feature_family,n,deaths,hr_per_sd,ci95_lower,ci95_upper,p_value,concordance,adjustment_covariates,bonferroni_alpha_24,bonferroni_significant,source_analysis_label
CODE_discovery,normal_ecg,rs_diff_2_V5,V5,rs_diff_2,11686,176,1.0650408977417989,0.9586726441808339,1.1832111000016106,0.24048367634419995,0.8117965944896023,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_V6,V6,rs_diff,11686,176,0.9956329291748851,0.8874401352746181,1.1170161121353936,0.940558964708122,0.8107876108500052,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,normal_ecg,rs_diff_2_V6,V6,rs_diff_2,11686,176,0.994822796311003,0.8864946270184535,1.1163884877549768,0.9296835842530917,0.8107634664052289,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_I,I,rs_diff,26075,760,0.9805292975061972,0.9206666659022079,1.044284254959785,0.54068830896632,0.8011013884302298,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_I,I,rs_diff_2,26075,760,1.0071760198092263,0.9477467624980687,1.070331838649591,0.81775577260958,0.8012519876962206,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_II,II,rs_diff,26075,760,0.9450227873751169,0.890575422407411,1.002798916507359,0.06181107425749441,0.8017045883334609,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_II,II,rs_diff_2,26075,760,0.9769115469782884,0.9187473756127204,1.0387579828274822,0.4557660701137639,0.8012096379248425,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_III,III,rs_diff,26075,760,0.9526742757880738,0.8935491766235121,1.0157116132968405,0.13805326730477305,0.8015828243778397,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_III,III,rs_diff_2,26075,760,0.9738014806836175,0.9118655192081915,1.0399442722705896,0.4284802346926214,0.8012370682664934,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_aVR,aVR,rs_diff,26075,760,0.9395552409462317,0.8830576387116897,0.9996675325490795,0.04878417905548267,0.8013768961056408,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_aVR,aVR,rs_diff_2,26075,760,0.9835013523407434,0.922974612143502,1.0479973092755897,0.6077077869115549,0.801146481235773,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_aVL,aVL,rs_diff,26075,760,0.9542046772129154,0.8943257129446655,1.0180927964343789,0.15628343097736658,0.8012719248713718,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_aVL,aVL,rs_diff_2,26075,760,1.0084312971088167,0.9503418001332978,1.0700715056897765,0.7815020376195941,0.8012345928454175,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_aVF,aVF,rs_diff,26075,760,0.9724925787392411,0.9162396975982976,1.0321991266935215,0.35887865424078713,0.8013515397654317,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_aVF,aVF,rs_diff_2,26075,760,0.9863036664341249,0.9273574977197937,1.0489966650545515,0.6609388987251891,0.8012170641880699,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_V1,V1,rs_diff,26075,760,0.8860192697866146,0.8316621328339985,0.9439291695993324,0.00017945320725152724,0.8030878803919355,age;is_male;nn_predicted_age,0.0020833333333333333,True,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_V1,V1,rs_diff_2,26075,760,0.9334262893182581,0.8696948239367618,1.001828013240891,0.05621726130368499,0.8015146499433463,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_V2,V2,rs_diff,26075,760,0.8644736499756311,0.8133416400957301,0.9188201546083776,2.8457407342771008e-06,0.8049532774307431,age;is_male;nn_predicted_age,0.0020833333333333333,True,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_V2,V2,rs_diff_2,26075,760,0.93077792038963,0.8677463661877723,0.9983879746923364,0.04495682781663801,0.8019374117211322,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_V3,V3,rs_diff,26075,760,0.8913649712900826,0.8395815929445813,0.9463422241742915,0.00016585928108224724,0.8037131583750319,age;is_male;nn_predicted_age,0.0020833333333333333,True,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_V3,V3,rs_diff_2,26075,760,0.9598108288602522,0.898344580272266,1.0254827016579764,0.22445738806443796,0.8015522495823898,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_V4,V4,rs_diff,26075,760,0.9262967932513656,0.8712158269771583,0.9848601490228195,0.014377230000175307,0.8025258260011807,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_V4,V4,rs_diff_2,26075,760,0.9901113939787857,0.9278171465892893,1.0565881177022116,0.7643774120992082,0.8012749355186262,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_V5,V5,rs_diff,26075,760,0.9659065272935671,0.9085455845985875,1.0268889478787402,0.26677933542041016,0.8013221023256113,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_V5,V5,rs_diff_2,26075,760,1.0433293388321,0.9837430989305681,1.106524773033915,0.15745212316896712,0.8017106096279696,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_V6,V6,rs_diff,26075,760,0.9654798985735094,0.9088386999987222,1.0256511243973485,0.25475652661810766,0.8014217212980947,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,rhythm_abnormalities_excluded,rs_diff_2_V6,V6,rs_diff_2,26075,760,1.006591097905343,0.9460981873241063,1.0709518863449439,0.8354252307066953,0.8012158599291682,age;is_male;nn_predicted_age,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
