specification,cohort,feature,log_hr,hr_per_sd
age_sex,CODE_replication_corrected,rs_diff_I,-0.14579001812005724,0.8643391796964472
age_sex,CODE_replication_corrected,rs_diff_2_I,-0.12520556181972137,0.8823155135593694
age_sex,CODE_replication_corrected,rs_diff_II,-0.03517475045656205,0.9654366910130529
age_sex,CODE_replication_corrected,rs_diff_2_II,-0.03972030052566943,0.9610582090390423
age_sex,CODE_replication_corrected,rs_diff_III,-0.03494065374245227,0.9656627230257435
age_sex,CODE_replication_corrected,rs_diff_2_III,-0.0679085437002401,0.9343459214904543
age_sex,CODE_replication_corrected,rs_diff_aVR,-0.058515840711451134,0.9431632999036478
age_sex,CODE_replication_corrected,rs_diff_2_aVR,-0.030856356466019908,0.969614841975749
age_sex,CODE_replication_corrected,rs_diff_aVL,-0.1331927344795913,0.8752963760590655
age_sex,CODE_replication_corrected,rs_diff_2_aVL,-0.12886248391833513,0.8790948469125859
age_sex,CODE_replication_corrected,rs_diff_aVF,-0.035293034863665265,0.9653225016600038
age_sex,CODE_replication_corrected,rs_diff_2_aVF,-0.06011963424841917,0.9416518730312502
age_sex,CODE_replication_corrected,rs_diff_V1,-0.16816616017117444,0.8452133822159108
age_sex,CODE_replication_corrected,rs_diff_2_V1,-0.1488106305026922,0.8617322852583995
age_sex,CODE_replication_corrected,rs_diff_V2,-0.16023600038588284,0.8519427064318987
age_sex,CODE_replication_corrected,rs_diff_2_V2,-0.10465225290607837,0.9006376622661326
age_sex,CODE_replication_corrected,rs_diff_V3,-0.1221605947479084,0.885006229737201
age_sex,CODE_replication_corrected,rs_diff_2_V3,-0.051791312191933545,0.9495270008766048
age_sex,CODE_replication_corrected,rs_diff_V4,-0.03639862229550612,0.9642558429853578
age_sex,CODE_replication_corrected,rs_diff_2_V4,-0.016333255133864747,0.9837994092155203
age_sex,CODE_replication_corrected,rs_diff_V5,-0.04263396206020245,0.9582620861588813
age_sex,CODE_replication_corrected,rs_diff_2_V5,-0.019275248982125303,0.9809093307867128
age_sex,CODE_replication_corrected,rs_diff_V6,-0.09776496104497709,0.9068620266099374
age_sex,CODE_replication_corrected,rs_diff_2_V6,-0.06051593393223031,0.9412787706267733
full,CODE_discovery,rs_diff_I,-0.0369100546181316,0.9637628174653144
full,CODE_discovery,rs_diff_2_I,0.0135158914404633,1.0136076440077475
full,CODE_discovery,rs_diff_II,-0.0459183242531658,0.9551199691418292
full,CODE_discovery,rs_diff_2_II,-0.0317365435092149,0.9687617750392592
full,CODE_discovery,rs_diff_III,-0.0614212420062484,0.9404270089673509
full,CODE_discovery,rs_diff_2_III,-0.0227783487480657,0.9774791192341474
full,CODE_discovery,rs_diff_aVR,-0.0456982088627888,0.9553302288865476
full,CODE_discovery,rs_diff_2_aVR,-0.0015346844421507,0.9984664925838197
full,CODE_discovery,rs_diff_aVL,-0.0633936822903619,0.9385739010237708
full,CODE_discovery,rs_diff_2_aVL,-0.0052413023765932,0.994772409282598
full,CODE_discovery,rs_diff_aVF,-0.0163008228216534,0.983831316622526
full,CODE_discovery,rs_diff_2_aVF,-0.0010490085266953,0.9989515414904082
full,CODE_discovery,rs_diff_V1,-0.1226315276338742,0.8845895493212894
full,CODE_discovery,rs_diff_2_V1,-0.0609720558203275,0.9408495306769992
full,CODE_discovery,rs_diff_V2,-0.1404323872559899,0.8689824172322776
full,CODE_discovery,rs_diff_2_V2,-0.0614019204777436,0.9404451796301532
full,CODE_discovery,rs_diff_V3,-0.1111207964454008,0.8948306500384212
full,CODE_discovery,rs_diff_2_V3,-0.050688736452027,0.9505745036816292
full,CODE_discovery,rs_diff_V4,-0.0830858078701062,0.9202721772366035
full,CODE_discovery,rs_diff_2_V4,-0.0235124986405702,0.9767617663983097
full,CODE_discovery,rs_diff_V5,-0.0208778369373306,0.9793385962643337
full,CODE_discovery,rs_diff_2_V5,0.0518160549615611,1.0531819970917184
full,CODE_discovery,rs_diff_V6,-0.0366388496053177,0.964024230219197
full,CODE_discovery,rs_diff_2_V6,0.0099684835578089,1.0100183343980962
full,CODE_replication_corrected,rs_diff_I,-0.08778550711438332,0.9159573219836111
full,CODE_replication_corrected,rs_diff_2_I,-0.08153137339769365,0.9217037924206352
full,CODE_replication_corrected,rs_diff_II,-0.01843427512802819,0.981734596852098
full,CODE_replication_corrected,rs_diff_2_II,-0.027474348275869066,0.9728996387865086
full,CODE_replication_corrected,rs_diff_III,0.006441681766278583,1.006462474019985
full,CODE_replication_corrected,rs_diff_2_III,-0.03493307239828643,0.9656700440749465
full,CODE_replication_corrected,rs_diff_aVR,-0.020395542830312485,0.9798110394172038
full,CODE_replication_corrected,rs_diff_2_aVR,-0.006836876123372253,0.9931864421425628
full,CODE_replication_corrected,rs_diff_aVL,-0.0774084770593055,0.9255117260753221
full,CODE_replication_corrected,rs_diff_2_aVL,-0.08234309475732436,0.9209559293343587
full,CODE_replication_corrected,rs_diff_aVF,-0.010625930583832282,0.9894303251836118
full,CODE_replication_corrected,rs_diff_2_aVF,-0.035097507213530305,0.9655112673542307
full,CODE_replication_corrected,rs_diff_V1,-0.13037517744445404,0.8777660511126026
full,CODE_replication_corrected,rs_diff_2_V1,-0.10786389524306861,0.8977497761306925
full,CODE_replication_corrected,rs_diff_V2,-0.13000562160033716,0.8780904946328657
full,CODE_replication_corrected,rs_diff_2_V2,-0.07938664913529436,0.9236827142692756
full,CODE_replication_corrected,rs_diff_V3,-0.08738317999932795,0.9163259105921024
full,CODE_replication_corrected,rs_diff_2_V3,-0.022516921873052514,0.9777346919510123
full,CODE_replication_corrected,rs_diff_V4,-0.00729229929460296,0.9927342250063562
full,CODE_replication_corrected,rs_diff_2_V4,0.009544105160209636,1.0095897953735822
full,CODE_replication_corrected,rs_diff_V5,-0.015445601702650509,0.9846730698332944
full,CODE_replication_corrected,rs_diff_2_V5,0.0019935539684327354,1.0019955424182865
full,CODE_replication_corrected,rs_diff_V6,-0.06295759444703863,0.938983290950565
full,CODE_replication_corrected,rs_diff_2_V6,-0.029910352336759923,0.9705325356226007
